"time,s","alice dist, m","alice elev, rads",alice eff,"bob dist, m","bob elev, rads",bob eff,combined eff,combined loss (dB),Block,QBER (%),Alice Prb. Background,Bob Prb Background,Phi,Xi,Offset
155.0,1480953.5865016822,0.2761206717780544,0.001280521124077439,1008914.4280875291,0.411711177139209,0.0031685645706257593,4.057413865689645e-06,53.917506909848484,1498506.0836225182,0.00025331260996969374,3.953216093958608e-08,3.815442249354317e-08,0.0,0.0,0.0
154.0,1474090.5126499278,0.2783558553599626,0.001296914018516288,1002564.8487896572,0.41589329839608563,0.003218676997619451,4.1743473192885835e-06,53.79411419052267,1498506.258899062,0.000259168544739359,3.926574312608302e-08,3.789662071860518e-08,0.0,0.0,0.0
153.0,1467231.1901097652,0.2806067601414491,0.0013135803104891884,996228.3249286216,0.4201216178143862,0.0032691752509378816,4.2943242411705525e-06,53.671051674370524,1498506.4387367044,0.00026517683341563956,3.8997451458615034e-08,3.763700569074772e-08,0.0,0.0,0.0
152.0,1460375.6802279607,0.28287359885985647,0.0013305256338478604,989905.1150740332,0.42439692468121676,0.003319120961507522,4.4161755211275155e-06,53.54953673878885,1498506.6213827818,0.0002712789121070098,3.872726058042034e-08,3.737555287325491e-08,0.0,0.0,0.0
151.0,1453524.0454344829,0.2851565879129646,0.0013477557584461498,983595.4838441908,0.42872002345385124,0.003370064859064752,4.542024320141532e-06,53.42750544692464,1498506.8100201027,0.00027758112773031173,3.84551446984393e-08,3.711223730722304e-08,0.0,0.0,0.0
150.0,1446676.3492664935,0.28745594743310837,0.001365276593825048,977299.702065332,0.4330917340143513,0.003422029867977366,4.672017282119717e-06,53.30495559406927,1498507.0048684336,0.00028409082098256267,3.8181077574480215e-08,3.684703360301206e-08,0.0,0.0,0.0
149.0,1439832.6563929585,0.2897719013629397,0.0013830941930052362,971018.0469350582,0.43751289192351195,0.0034750394372247665,4.8063068660897586e-06,53.181885044445295,1498507.2061562557,0.0002908156236221566,3.7905032516188976e-08,3.6579915931507235e-08,0.0,0.0,0.0
148.0,1432993.0326398865,0.29210467753289343,0.0014012147563904572,964750.8021900185,0.4419843486736736,0.0035291175483895773,4.945051585839989e-06,53.05829173565528,1498507.414121123,0.00029776347046213256,3.762698236781568e-08,3.6310858015184456e-08,0.0,0.0,0.0
147.0,1426157.5450162166,0.2944545077403703,0.0014196446357849259,958498.2582779228,0.4465069719398329,0.0035842887233622145,5.0884162592255675e-06,52.93417368332488,1498507.629010038,0.0003049426118471263,3.734689950077666e-08,3.603983311897737e-08,0.0,0.0,0.0
146.0,1419326.261740375,0.29682162783069616,0.00143839033852823,952260.7125339718,0.4510816458285013,0.003640578031712514,5.2365722674734e-06,52.80952898594697,1498507.8510798372,0.0003123616266306478,3.706475580400459e-08,3.576681404093975e-08,0.0,0.0,0.0
145.0,1412499.2522675118,0.29920627777987724,0.001457458531751167,946038.4693617637,0.4557092711236559,0.003698011097678683,5.3896978248222945e-06,52.68435582993408,1498508.080597598,0.00032002943566951196,3.6780522674084844e-08,3.549177310270064e-08,0.0,0.0,0.0
144.0,1405676.5873174497,0.30160870177921645,0.0014768560467561126,939831.8404187682,0.46039076552913394,0.003756614106719675,5.547978258838264e-06,52.55865249488636,1498508.3178410572,0.00032795531585242765,3.6494171005169674e-08,3.521468213970488e-08,0.0,0.0,0.0
143.0,1398858.338903354,0.3040291483218011,0.0014965898835255678,933641.1448064164,0.4651270639066948,0.0038164138115728517,5.7116063017471826e-06,52.4324173590825,1498508.5630990474,0.000336148914679859,3.620567117866955e-08,3.493551249123773e-08,0.0,0.0,0.0
142.0,1392044.5803611523,0.30646787029093414,0.0015166672153626754,927466.7092648856,0.46991911850899243,0.0038774375377540393,5.880782393128127e-06,52.3056489052011,1498508.8166719526,0.0003446202654123306,3.591499305271283e-08,3.465423499022547e-08,0.0,0.0,0.0
141.0,1385235.3863797162,0.308925125050527,0.0015370953936675435,921308.8683726293,0.47476789920656637,0.003938114813043065,6.053258138862414e-06,52.18010805371593,1498509.0751892996,0.00035325675312199996,3.562210595137156e-08,3.43708199528096e-08,0.0,0.0,0.0
140.0,1378430.8330318392,0.31140117453750704,0.001557881952853333,915167.9647507124,0.479674393707936,0.003999399426008784,6.230592188031063e-06,52.054706737627086,1498509.340987492,0.00036213643840606556,3.532697865364712e-08,3.4085237167688744e-08,0.0,0.0,0.0
139.0,1371630.9978060233,0.31389628535628916,0.0015790346154061976,909044.349271998,0.48463960777181003,0.004061907773686458,6.41389297923844e-06,51.928782908862125,1498509.6157280207,0.00037131483085103167,3.502957938220998e-08,3.379745588522251e-08,0.0,0.0,0.0
138.0,1364835.959639104,0.31641072887533644,0.001599333217623784,902938.3812752265,0.4896645654103084,0.004125666554374613,6.598315565250781e-06,51.80566918107154,1498509.8921503802,0.0003805494199368735,3.480021327446414e-08,3.357571338335466e-08,0.0,0.0,0.0
137.0,1358045.7989497303,0.31894478132587695,0.0016198341744171378,896850.428784021,0.4947503090820716,0.004190702958613705,6.788243867193487e-06,51.68242564074748,1498510.1768242302,0.00039005964173665454,3.457733822255837e-08,3.3360277849094474e-08,0.0,0.0,0.0
136.0,1351260.5976727363,0.3214987239028064,0.0016406868198625328,890780.8687308513,0.49989789987399574,0.004257044667129874,6.984477076926067e-06,51.55866103666731,1498510.4709472293,0.00039988549958789866,3.435271379370091e-08,3.314315133168034e-08,0.0,0.0,0.0
135.0,1344480.4392944172,0.32407284286782595,0.0016618986118496575,884730.0871859618,0.5051084176702689,0.004324719847619001,7.1872459113966805e-06,51.43437495516767,1498510.7748651318,0.0004100385420564891,3.412631481059462e-08,3.2924309494227466e-08,0.0,0.0,0.0
134.0,1337705.408888746,0.3266674296548642,0.0016834771919607022,878698.4795912765,0.510382961307285,0.0043937571502669645,7.396789949488686e-06,51.30956714010439,1498511.088936973,0.0004205307612393225,3.389811564103448e-08,3.2703727560127895e-08,0.0,0.0,0.0
133.0,1330935.593154551,0.32928278097782765,0.0017054303904555253,872686.4509992759,0.5157226487129049,0.004464185701895222,7.6133579646491426e-06,51.184237500809786,1498511.4135355658,0.00043137460940934297,3.36680901884307e-08,3.248138030388996e-08,0.0,0.0,0.0
132.0,1324171.0804536883,0.33191919894072736,0.0017277662313971251,866694.4163168237,0.5211286170284339,0.004536035098613763,7.837208267816988e-06,51.05838612034955,1498511.749048017,0.00044258301617579527,3.3436211882122856e-08,3.225724204177574e-08,0.0,0.0,0.0
131.0,1317411.9608502293,0.33457699115022616,0.0017504929379211008,860722.8005539095,0.5266020227115665,0.004608140843246659,8.066518003049063e-06,50.933138925884535,1498512.0927418524,0.00045406468677787297,3.320245366748116e-08,3.203128662223271e-08,0.0,0.0,0.0
130.0,1310658.3261507063,0.337256470830662,0.0017736189376528202,854772.0390772672,0.5321440416184462,0.004680673103320158,8.301730457010827e-06,50.80831371527627,1498512.445281477,0.0004658418163561988,3.296678799578986e-08,3.180348741611491e-08,0.0,0.0,0.0
129.0,1303910.2699454303,0.33995795694158426,0.0017971528682760834,848842.5778687898,0.537755869062841,0.00475462953893217,8.544796113482143e-06,50.682982954764256,1498512.8095904898,0.0004780120779589871,3.2729186813909785e-08,3.1573817306690434e-08,0.0,0.0,0.0
128.0,1297167.887650928,0.3426817742978628,0.0018211035832571166,842934.873788673,0.543438719850333,0.004830038451400419,8.796000331114957e-06,50.55714762962748,1498513.1860965264,0.0004905897547217976,3.2489621553714434e-08,3.134224867943023e-08,0.0,0.0,0.0
